anr;datum;titel_kurz;ja_proz;li_re;kons_prog
202;04.11.1962;Festsetzung der Mitgliederzahl des Nationalrates;#ZAHL!;#ZAHL!;Nan
203;26.05.1963;Initiative für ein Referendum gegen Atomwaffen;#ZAHL!;#ZAHL!;Nan
204;08.12.1963;Weiterführung der Finanzordnung ;#ZAHL!;#ZAHL!;Nan
205;08.12.1963;Artikel über Stipendien und Ausbildungsbeihilfen;#ZAHL!;#ZAHL!;Nan
206;02.02.1964;Erlass einer allgemeinen Steueramnestie;#ZAHL!;#ZAHL!;Nan
207;24.05.1964;Berufsbildungsgesetz;#ZAHL!;#ZAHL!;Nan
208;06.12.1964;Weiterführung befristeter Preiskontrollmassnahmen;#ZAHL!;#ZAHL!;Nan
209;28.02.1965;Bekämpfung der Teuerung durch Massnahmen im Kreditwesen;#ZAHL!;#ZAHL!;Nan
210;28.02.1965;Bekämpfung der Teuerung durch Massnahmen in der Bauwirtschaft;#ZAHL!;#ZAHL!;Nan
211;16.05.1965;Milchbeschluss;#ZAHL!;#ZAHL!;Nan
212;16.10.1966;Auslandschweizer-Artikel;#ZAHL!;#ZAHL!;Nan
213;16.10.1966;Initiative «zur Bekämpfung des Alkoholismus»;#ZAHL!;#ZAHL!;Nan
214;02.07.1967;Initiative «gegen die Bodenspekulation»;#ZAHL!;#ZAHL!;Nan
215;18.02.1968;Erlass einer allgemeinen Steueramnestie;#ZAHL!;#ZAHL!;Nan
216;19.05.1968;Gesetz über die Tabakbesteuerung;#ZAHL!;#ZAHL!;Nan
217;01.06.1969;Gesetz über die Eidgenössischen Technischen Hochschulen;#ZAHL!;#ZAHL!;Nan
218;14.09.1969;Verfassungsrechtliche Ordnung des Bodenrechts;#ZAHL!;#ZAHL!;Nan
219;01.02.1970;Bundesbeschluss über die inländische Zuckerwirtschaft;#ZAHL!;#ZAHL!;Nan
220;07.06.1970;Initiative «Gegen die Überfremdung»;#ZAHL!;#ZAHL!;Nan
221;27.09.1970;Verfassungsartikel zur Förderung von Turnen und Sport;#ZAHL!;#ZAHL!;Nan
222;27.09.1970;Initiative «Recht auf Wohnung und Ausbau des Familienschutzes»;#ZAHL!;#ZAHL!;Nan
223;15.11.1970;Änderung der Finanzordnung;#ZAHL!;#ZAHL!;Nan
224;07.02.1971;Einführung des Frauenstimmrechts;#ZAHL!;#ZAHL!;Nan
225;06.06.1971;Umweltschutzartikel;#ZAHL!;#ZAHL!;Nan
226;06.06.1971;Weiterführung der Finanzordnung;#ZAHL!;#ZAHL!;Nan
227.1;05.03.1972;Initiative «zur Förderung des Wohnungsbaues»;#ZAHL!;#ZAHL!;Nan
227.2;05.03.1972;Gegenentwurf zur Wohnungsbau-Initiative;#ZAHL!;#ZAHL!;Nan
228;05.03.1972;Verfassungsartikel über den Mieterschutz und die Allgemeinverbindlicherklärung von Mietverträgen;#ZAHL!;#ZAHL!;Nan
229;04.06.1972;Massnahmen zur Stabilisierung des Baumarktes;#ZAHL!;#ZAHL!;Nan
230;04.06.1972;Bundesbeschluss über den Schutz der Währung;#ZAHL!;#ZAHL!;Nan
231;24.09.1972;Initiative für ein Waffenausfuhrverbot;#ZAHL!;#ZAHL!;Nan
232.1;03.12.1972;Initiative zur Einführung einer Volkspension;#ZAHL!;#ZAHL!;Nan
232.2;03.12.1972;Gegenentwurf zur Initiative zur Einführung einer Volkspension;#ZAHL!;#ZAHL!;Nan
233;03.12.1972;Abkommen mit der EWG;#ZAHL!;#ZAHL!;Nan
234;04.03.1973;Bildungsartikel;#ZAHL!;#ZAHL!;Nan
235;04.03.1973;Verfassungsartikel zur wissenschaftlichen Forschung;#ZAHL!;#ZAHL!;Nan
236;20.05.1973;Aufhebung des Jesuiten- und des Klosterartikels;#ZAHL!;#ZAHL!;Nan
237;02.12.1973;Massnahmen zur Preisüberwachung;#ZAHL!;#ZAHL!;Nan
238;02.12.1973;Massnahmen auf dem Gebiet des Kreditwesens;#ZAHL!;#ZAHL!;Nan
239;02.12.1973;Massnahmen zur Stabilisierung des Baumarktes;#ZAHL!;#ZAHL!;Nan
240;02.12.1973;Einschränkung der steuerwirksamen Abschreibungen;#ZAHL!;#ZAHL!;Nan
241;02.12.1973;Tierschutzartikel ;#ZAHL!;#ZAHL!;Nan
242;20.10.1974;Initiative «Gegen die Überfremdung»;#ZAHL!;#ZAHL!;Nan
243;08.12.1974;Verbesserung des Bundeshaushalts;#ZAHL!;#ZAHL!;Nan
244;08.12.1974;Erschwerung von Ausgabenbeschlüssen;#ZAHL!;#ZAHL!;Nan
245.1;08.12.1974;Initiative «für eine soziale Krankenversicherung»;#ZAHL!;#ZAHL!;Nan
245.2;08.12.1974;Bundesbeschluss über die soziale Krankenversicherung (Gegenentwurf);#ZAHL!;#ZAHL!;Nan
246;02.03.1975;Konjunkturartikel;#ZAHL!;#ZAHL!;Nan
247;08.06.1975;Bundesbeschluss über den Schutz der Währung;#ZAHL!;#ZAHL!;Nan
248;08.06.1975;Bundesbeschluss über die Finanzierung der Nationalstrassen;#ZAHL!;#ZAHL!;Nan
249;08.06.1975;Änderung des Generalzolltarifs;#ZAHL!;#ZAHL!;Nan
250;08.06.1975;Bundesbeschluss zur Erhöhung der Steuereinnahmen;#ZAHL!;#ZAHL!;Nan
251;08.06.1975;Erschwerung von Ausgabenbeschlüssen;#ZAHL!;#ZAHL!;Nan
252;07.12.1975;Reform der Niederlassungsfreiheit und Unterstützungsregelung;#ZAHL!;#ZAHL!;Nan
253;07.12.1975;Verfassungsbestimmungen zur Wasserwirtschaft;#ZAHL!;#ZAHL!;Nan
254;07.12.1975;Gesetz über die Ein- und Ausfuhr von Landwirtschaftserzeugnissen;#ZAHL!;#ZAHL!;Nan
