188,1958-10-26,Initiative «zur Einführung der 44-Stunden-Woche»,NaN,NaN,Nan
189,1958-12-07,Erhöhung des Höchsteinsatzes bei Kursaalspielen,NaN,NaN,Nan
190,1958-12-07,Abkommen mit Italien zur Wasserkraft des Spöl,NaN,NaN,Nan
191,1959-02-01,Einführung des Frauenstimmrechts,NaN,NaN,Nan
192,1959-05-24,Zivilschutzartikel,NaN,NaN,Nan
193,1960-05-29,Weiterführung befristeter Preiskontrollmassnahmen,NaN,NaN,Nan
194,1960-12-04,Massnahmen für die Milchwirtschaft,NaN,NaN,Nan
195,1961-03-05,Artikel betreffend Leitungsanlagen für Treibstoffe,NaN,NaN,Nan
196,1961-03-05,Treibstoffzoll zur Finanzierung der Nationalstrassen,NaN,NaN,Nan
197,1961-10-22,Volksinitiative zur Einführung der Gesetzesinitiative,NaN,NaN,Nan
198,1961-12-03,Uhrenstatut,NaN,NaN,Nan
199,1962-04-01,Initiative «für ein Verbot der Atomwaffen»,NaN,NaN,Nan
200,1962-05-27,Natur- und Heimatschutz-Artikel,NaN,NaN,Nan
201,1962-05-27,Gesetz über die Taggelder des Nationalrates,NaN,NaN,Nan
202,1962-11-04,Festsetzung der Mitgliederzahl des Nationalrates,NaN,NaN,Nan
203,1963-05-26,Initiative für ein Referendum gegen Atomwaffen,NaN,NaN,Nan
204,1963-12-08,Weiterführung der Finanzordnung ,NaN,NaN,Nan
205,1963-12-08,Artikel über Stipendien und Ausbildungsbeihilfen,NaN,NaN,Nan
206,1964-02-02,Erlass einer allgemeinen Steueramnestie,NaN,NaN,Nan
207,1964-05-24,Berufsbildungsgesetz,NaN,NaN,Nan
208,1964-12-06,Weiterführung befristeter Preiskontrollmassnahmen,NaN,NaN,Nan
209,1965-02-28,Bekämpfung der Teuerung durch Massnahmen im Kreditwesen,NaN,NaN,Nan
210,1965-02-28,Bekämpfung der Teuerung durch Massnahmen in der Bauwirtschaft,NaN,NaN,Nan
211,1965-05-16,Milchbeschluss,NaN,NaN,Nan
212,1966-10-16,Auslandschweizer-Artikel,NaN,NaN,Nan
213,1966-10-16,Initiative «zur Bekämpfung des Alkoholismus»,NaN,NaN,Nan
214,1967-07-02,Initiative «gegen die Bodenspekulation»,NaN,NaN,Nan
215,1968-02-18,Erlass einer allgemeinen Steueramnestie,NaN,NaN,Nan
216,1968-05-19,Gesetz über die Tabakbesteuerung,NaN,NaN,Nan
