"Votations populaires (résultats au niveau des cantons depuis 1866)"

"Canton";"Date et objet";"Bulletins valables";"Oui en %"
"Fribourg / Freiburg";"2021-06-13 Initiative populaire «Pour une eau potable propre et une alimentation saine - Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»";129181.00;31.23
"Fribourg / Freiburg";"2021-03-07 Arrêté fédéral portant approbation de l’Accord de partenariat économique de large portée entre les États de l’AELE et l’Indonésie";110453.00;46.28
"Fribourg / Freiburg";"2021-03-07 Loi fédérale sur les services d’identification électronique (LSIE)";111936.00;37.81
"Fribourg / Freiburg";"2021-03-07 Initiative «Oui à l’interdiction de se dissimuler le visage»";113478.00;55.88
"Solothurn";"2021-11-28 Modification de la loi fédérale sur les bases légales des ordonnances du Conseil fédéral visant à surmonter l’épidémie de COVID-19) (Loi COVID-19) (Cas de rigueur, assurance-chômage, accueil extra-familial pour enfants, acteurs culturels, manife";120083.00;63.45
"Solothurn";"2021-11-28 Initiative populaire «Désignation des juges fédéraux par tirage au sort» (Initiative sur la justice)";115295.00;32.79
"Solothurn";"2021-11-28 Initiative populaire «Pour des soins infirmiers forts» (initiative sur les soins infirmiers)";118924.00;60.57
"Solothurn";"2021-09-26 Modification du code civil suisse (Mariage pour tous)";94126.00;66.16
"Solothurn";"2021-09-26 Initiative populaire «Alléger les impôts sur les salaires, imposer équitablement le capital»";92826.00;34.52
"Solothurn";"2021-06-13 Loi fédérale sur les mesures policières de lutte contre le terrorisme (MPT)";105445.00;58.83
"Solothurn";"2021-06-13 Loi fédérale sur la réduction des émissions de gaz à effet de serre (Loi sur le CO2)";106458.00;43.86
"Solothurn";"2021-06-13 Loi fédérale sur les bases légales des ordonnances du Conseil fédéral visant à surmonter l’épidémie de COVID-19 (Loi COVID-19)";105950.00;59.10
"Solothurn";"2021-06-13 Initiative populaire «Pour une Suisse libre de pesticides de synthèse»";106531.00;39.69
"Solothurn";"2021-06-13 Initiative populaire «Pour une eau potable propre et une alimentation saine - Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»";106638.00;40.31
"Solothurn";"2021-03-07 Arrêté fédéral portant approbation de l’Accord de partenariat économique de large portée entre les États de l’AELE et l’Indonésie";91284.00;54.97
"Solothurn";"2021-03-07 Loi fédérale sur les services d’identification électronique (LSIE)";92049.00;39.80
"Solothurn";"2021-03-07 Initiative «Oui à l’interdiction de se dissimuler le visage»";92773.00;52.56
"Basel-Stadt";"2021-11-28 Modification de la loi fédérale sur les bases légales des ordonnances du Conseil fédéral visant à surmonter l’épidémie de COVID-19) (Loi COVID-19) (Cas de rigueur, assurance-chômage, accueil extra-familial pour enfants, acteurs culturels, manife";72734.00;70.58
"Basel-Stadt";"2021-11-28 Initiative populaire «Désignation des juges fédéraux par tirage au sort» (Initiative sur la justice)";69568.00;34.04
"Basel-Stadt";"2021-11-28 Initiative populaire «Pour des soins infirmiers forts» (initiative sur les soins infirmiers)";72229.00;66.64
"Basel-Stadt";"2021-09-26 Modification du code civil suisse (Mariage pour tous)";65960.00;73.96
"Basel-Stadt";"2021-09-26 Initiative populaire «Alléger les impôts sur les salaires, imposer équitablement le capital»";64825.00;48.08
"Basel-Stadt";"2021-06-13 Loi fédérale sur les mesures policières de lutte contre le terrorisme (MPT)";64579.00;45.07
"Basel-Stadt";"2021-06-13 Loi fédérale sur la réduction des émissions de gaz à effet de serre (Loi sur le CO2)";65350.00;66.64
"Basel-Stadt";"2021-06-13 Loi fédérale sur les bases légales des ordonnances du Conseil fédéral visant à surmonter l’épidémie de COVID-19 (Loi COVID-19)";64775.00;69.08
"Basel-Stadt";"2021-06-13 Initiative populaire «Pour une Suisse libre de pesticides de synthèse»";65079.00;57.16
"Basel-Stadt";"2021-06-13 Initiative populaire «Pour une eau potable propre et une alimentation saine - Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»";65197.00;58.76
"Basel-Stadt";"2021-03-07 Arrêté fédéral portant approbation de l’Accord de partenariat économique de large portée entre les États de l’AELE et l’Indonésie";60532.00;48.81
"Basel-Stadt";"2021-03-07 Loi fédérale sur les services d’identification électronique (LSIE)";61415.00;29.31
"Basel-Stadt";"2021-03-07 Initiative «Oui à l’interdiction de se dissimuler le visage»";61858.00;40.61
"Basel-Landschaft";"2021-11-28 Modification de la loi fédérale sur les bases légales des ordonnances du Conseil fédéral visant à surmonter l’épidémie de COVID-19) (Loi COVID-19) (Cas de rigueur, assurance-chômage, accueil extra-familial pour enfants, acteurs culturels, manife";124125.00;64.97
"Basel-Landschaft";"2021-11-28 Initiative populaire «Désignation des juges fédéraux par tirage au sort» (Initiative sur la justice)";117608.00;34.01
"Basel-Landschaft";"2021-11-28 Initiative populaire «Pour des soins infirmiers forts» (initiative sur les soins infirmiers)";122339.00;62.00
"Basel-Landschaft";"2021-09-26 Modification du code civil suisse (Mariage pour tous)";97474.00;67.15
"Basel-Landschaft";"2021-09-26 Initiative populaire «Alléger les impôts sur les salaires, imposer équitablement le capital»";95850.00;32.69
"Basel-Landschaft";"2021-06-13 Loi fédérale sur les mesures policières de lutte contre le terrorisme (MPT)";108548.00;55.16
"Basel-Landschaft";"2021-06-13 Loi fédérale sur la réduction des émissions de gaz à effet de serre (Loi sur le CO2)";109751.00;46.98
"Basel-Landschaft";"2021-06-13 Loi fédérale sur les bases légales des ordonnances du Conseil fédéral visant à surmonter l’épidémie de COVID-19 (Loi COVID-19)";109286.00;58.67
"Basel-Landschaft";"2021-06-13 Initiative populaire «Pour une Suisse libre de pesticides de synthèse»";109780.00;40.50
"Basel-Landschaft";"2021-06-13 Initiative populaire «Pour une eau potable propre et une alimentation saine - Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»";109857.00;41.53
"Basel-Landschaft";"2021-03-07 Arrêté fédéral portant approbation de l’Accord de partenariat économique de large portée entre les États de l’AELE et l’Indonésie";88689.00;55.33
"Basel-Landschaft";"2021-03-07 Loi fédérale sur les services d’identification électronique (LSIE)";90513.00;33.51
"Basel-Landschaft";"2021-03-07 Initiative «Oui à l’interdiction de se dissimuler le visage»";91305.00;53.40
"Schaffhausen";"2021-11-28 Modification de la loi fédérale sur les bases légales des ordonnances du Conseil fédéral visant à surmonter l’épidémie de COVID-19) (Loi COVID-19) (Cas de rigueur, assurance-chômage, accueil extra-familial pour enfants, acteurs culturels, manife";39283.00;59.86
"Schaffhausen";"2021-11-28 Initiative populaire «Désignation des juges fédéraux par tirage au sort» (Initiative sur la justice)";36654.00;34.02
"Schaffhausen";"2021-11-28 Initiative populaire «Pour des soins infirmiers forts» (initiative sur les soins infirmiers)";38889.00;63.45
"Schaffhausen";"2021-09-26 Modification du code civil suisse (Mariage pour tous)";36233.00;61.81
"Schaffhausen";"2021-09-26 Initiative populaire «Alléger les impôts sur les salaires, imposer équitablement le capital»";35008.00;34.77
"Schaffhausen";"2021-06-13 Loi fédérale sur les mesures policières de lutte contre le terrorisme (MPT)";36728.00;56.43
"Schaffhausen";"2021-06-13 Loi fédérale sur la réduction des émissions de gaz à effet de serre (Loi sur le CO2)";37060.00;46.55
"Schaffhausen";"2021-06-13 Loi fédérale sur les bases légales des ordonnances du Conseil fédéral visant à surmonter l’épidémie de COVID-19 (Loi COVID-19)";36777.00;57.59
"Schaffhausen";"2021-06-13 Initiative populaire «Pour une Suisse libre de pesticides de synthèse»";37285.00;42.78
"Schaffhausen";"2021-06-13 Initiative populaire «Pour une eau potable propre et une alimentation saine - Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»";37400.00;44.23
"Schaffhausen";"2021-03-07 Arrêté fédéral portant approbation de l’Accord de partenariat économique de large portée entre les États de l’AELE et l’Indonésie";33226.00;50.75
"Schaffhausen";"2021-03-07 Loi fédérale sur les services d’identification électronique (LSIE)";34199.00;31.55
"Schaffhausen";"2021-03-07 Initiative «Oui à l’interdiction de se dissimuler le visage»";35021.00;52.23
"Appenzell Ausserrhoden";"2021-11-28 Modification de la loi fédérale sur les bases légales des ordonnances du Conseil fédéral visant à surmonter l’épidémie de COVID-19) (Loi COVID-19) (Cas de rigueur, assurance-chômage, accueil extra-familial pour enfants, acteurs culturels, manife";28212.00;50.68
"Appenzell Ausserrhoden";"2021-11-28 Initiative populaire «Désignation des juges fédéraux par tirage au sort» (Initiative sur la justice)";26946.00;32.03
"Appenzell Ausserrhoden";"2021-11-28 Initiative populaire «Pour des soins infirmiers forts» (initiative sur les soins infirmiers)";27806.00;55.30
